연도,년월,기온,최고기온,극점최고기온,최저기온,극점최저기온,강수량,상대습도,풍속,최대풍속,최대순간풍속
2013,2013. 10,15.8,21.2,28.1,10.9,4.3,13.5,59,2.5,8.5,14.8
2013,2013. 11,6.2,10.7,20.7,2.1,-6.4,46.8,58,2.7,12.6,20
2013,2013. 12,-0.2,3.5,11,-3.5,-9.8,24.7,60,2.4,8.3,13.2
2014,2014. 01,-0.7,3.5,8.2,-4.9,-10.5,13.0,50,2.4,7.8,14.8
2014,2014. 02,1.9,6.6,16.4,-1.8,-10.5,16.2,52,2.7,7.4,12.1
2014,2014. 03,7.9,13.1,23.8,3.5,-4.6,7.2,60,3,9.1,15.5
2014,2014. 04,14,19.6,26.2,9.4,2.3,31.0,60,2.8,9.3,18.4
2014,2014. 05,18.9,25.3,33.3,13.8,6.8,63.0,59,3.2,11.1,16.3
2014,2014. 06,23.1,27.8,31.1,19.7,17.3,98.1,73,2.6,8.3,14.2
2014,2014. 07,26.1,30.6,34.4,22.9,19.1,207.9,74,2.8,10.8,18.2
2014,2014. 08,25.2,29,35.8,22.1,18.3,172.8,77,2.4,9.3,15.7
2014,2014. 09,22.1,27,31.3,18,14.9,88.1,69,2.1,7.1,11.7
2014,2014. 10,15.6,21.4,29,10.7,2.7,52.2,63,2.4,9,17.7
2014,2014. 11,9,13.8,22.9,4.9,-3.1,41.5,60.9,2.5,8.7,16.6
2014,2014. 12,-2.9,1.5,7.9,-6.7,-13.2,17.9,56,2.8,11.1,19.3
2015,2015. 01,-0.9,3.6,9,-4.8,-9.8,11.3,56,2.6,7.7,13
2015,2015. 02,1,6,13,-2.9,-13,22.7,59,2.9,8.5,14.5
2015,2015. 03,6.3,12.4,21.9,1,-6.9,9.6,45,3.1,9.1,16.3
2015,2015. 04,13.3,18.8,28.3,8.4,3.5,80.5,55,3.1,10.4,16.4
2015,2015. 05,18.9,24.9,32.2,13.6,8.3,28.9,53,3,11.1,17.2
2015,2015. 06,23.6,29.5,34.9,18.9,15.6,99.0,60,2.5,7.8,14.4
2015,2015. 07,25.8,30,36,22.6,18.2,226.0,71,2.8,8,14.4
2015,2015. 08,26.3,30.8,34.4,22.8,18.9,72.9,70,2.4,8.1,14.2
2015,2015. 09,22.4,28.1,31,17.5,14.2,26.0,56,2.3,6.7,12.7
2015,2015. 10,15.5,21.2,26.6,10.8,1.1,81.5,61,2.3,8.6,16
2015,2015. 11,8.9,12.7,19.8,5.9,-7.3,104.6,74,2.7,7.7,13.2
2015,2015. 12,1.6,6,12.2,-2.1,-9.5,29.1,60,2.3,8,16.8
2016,2016. 01,-3.2,1.1,9.5,-6.8,-18,1.0,53,2.5,9,15.1
2016,2016. 02,0.2,5.1,14.4,-4.1,-10,47.6,52,2.8,7.6,14.4
2016,2016. 03,7,12.6,21.4,2.4,-7.5,40.5,51,2.4,7.1,12.7
2016,2016. 04,14.1,20.3,29.6,9.1,5.1,76.8,55,2.4,8,16.7
2016,2016. 05,19.6,25.7,31.9,14.1,8.9,160.5,56,2.4,8.7,18
2016,2016. 06,23.6,28.7,32.2,19.5,17.1,54.4,63,2.1,6.8,10.5
2016,2016. 07,26.2,29.8,34.1,23.3,19.8,358.2,73,2.1,6.1,11.2
2016,2016. 08,28,32.6,36.6,24.5,16.1,67.1,64,2.1,7.3,13.6
2016,2016. 09,23.1,27.9,31.1,19.3,14.3,33.0,65,2,8.1,15.7
2016,2016. 10,16.1,21.3,29,11.6,0.7,74.8,62,2.1,6.3,12.8
2016,2016. 11,6.8,11.6,18.6,2.8,-6.2,16.7,57,2.2,6.1,9.8
2016,2016. 12,1.2,5.8,13.6,-2.7,-9.8,61.1,59,2.2,7.2,12.9
2017,2017. 01,-1.8,2.9,11.4,-5.8,-12.6,14.9,55,2.3,7,13.1
2017,2017. 02,-0.2,4.8,12.3,-4.7,-9.3,11.1,54,2.5,7.8,12.3
2017,2017. 03,6.3,12.3,18.9,1.7,-5.3,7.9,48,2.4,8.5,17.9
2017,2017. 04,13.9,20,27.8,9.1,3.1,61.6,52,2.6,8.1,15.6
2017,2017. 05,19.5,25.4,30.3,14.4,10,16.1,52,2.4,8.5,15.7
2017,2017. 06,23.3,28.8,34.1,18.7,14.5,66.6,57,2.4,6.4,12.1
2017,2017. 07,26.9,30.4,35.4,24.3,21.9,621.0,77,2,7.3,13.3
2017,2017. 08,25.9,29.7,35.3,22.9,16.1,297.0,71,2.3,7.7,15.3
2017,2017. 09,22.1,27.4,31.4,17.5,11.2,35.0,61,2,6.8,12.1
2017,2017. 10,16.4,22.5,29.4,11.6,2.5,26.5,56,1.9,7.6,12.9
2017,2017. 11,5.6,10.5,18.4,1.3,-6.6,40.7,54,2.1,6.7,13
2017,2017. 12,-1.9,2.2,8.7,-5.7,-12.3,34.8,56,1.8,6.7,14.2
2018,2018. 01,-4,0.1,8.7,-7.3,-17.8,8.5,48,1.9,7.2,12.2
2018,2018. 02,-1.6,3.3,10.4,-5.9,-13.4,29.6,45,2.2,6.3,12.2
2018,2018. 03,8.1,13.6,22.1,3.8,-6.7,49.5,59,1.9,6.9,12.8
2018,2018. 04,13,18.5,26.3,8.1,0.1,130.3,55,2,8.8,15.9
2018,2018. 05,18.2,23.3,29.6,13.4,6.9,222.0,63,1.7,8,13.4
2018,2018. 06,23.1,28.4,32.9,18.9,16.3,171.5,63,1.7,5.7,10.5
2018,2018. 07,27.8,32.1,38.3,24.2,17.7,185.6,68,1.5,4.2,8.4
2018,2018. 08,28.8,33.3,39.6,25.2,20.2,202.6,65,1.7,7.1,17.8
2018,2018. 09,21.5,26,30.9,17.6,10.8,68.5,61,1.6,5.7,11.1
2018,2018. 10,13.1,18.6,25.6,8.5,0.7,120.5,59,1.5,6.1,13.8
2018,2018. 11,7.8,13.2,19.4,3.6,-3.1,79.1,58,1.4,5.6,11.5
2018,2018. 12,-0.6,4.1,13.5,-4.7,-14.4,16.4,46,1.8,5.9,13.3
2019,2019. 01,-0.9,4.1,8.5,-5.1,-10.1,-,46,1.8,6.8,12
2019,2019. 02,1,6,14.5,-3.2,-10.2,23.8,47,1.8,5.5,10
2019,2019. 03,7.1,12.4,17.6,2.7,-1.7,26.8,51,2.1,7.2,14.9
2019,2019. 04,12.1,17.6,28.2,7.2,0.3,47.3,51,1.9,7.3,12.8
2019,2019. 05,19.4,25.6,33.4,13.7,8.4,37.8,47,2.1,6.1,12.3
2019,2019. 06,22.5,27.7,32.8,18.1,14.1,74.0,61,1.7,5.3,9.9
2019,2019. 07,25.9,30.1,36.1,22.7,19.3,194.4,69,1.8,5.9,11.8
2019,2019. 08,27.2,31.6,36.8,23.6,18.5,190.5,69,1.6,7.5,12.1
2019,2019. 09,22.6,27.1,30.5,19,13.6,139.8,65,2.2,11.8,28.3
2019,2019. 10,16.4,21.8,28.2,11.8,4.7,55.5,62,2.1,6.7,14.5
2019,2019. 11,7.6,12.9,22.1,3.1,-4.6,78.8,56,2.2,7,12.1
2019,2019. 12,1.4,5.3,12.9,-2.6,-10.9,22.6,58,2.1,7.5,13.1
2020,2020. 01,1.6,5.9,11.9,-1.7,-6.5,60.5,56,2.1,7,13.7
2020,2020. 02,2.5,7.2,15.6,-1.3,-11.8,53.1,58,2.3,8.2,14.4
2020,2020. 03,7.7,13.3,20.6,2.6,-2.8,16.3,46,2.5,8.2,16.3
2020,2020. 04,11.1,16.6,23.8,6.3,1.9,16.9,50,3,8.9,17
2020,2020. 05,18,23.3,30,13.7,9.2,112.4,67,2.4,7.2,16.4
2020,2020. 06,23.9,29,35.4,19.9,14.8,139.6,68,2.3,7.6,14.5
2020,2020. 07,24.1,28,32.9,21.1,17.2,270.4,77,2.4,8.7,16.1
2020,2020. 08,26.5,29.3,34.5,24.4,21.5,675.7,85,2.3,8.3,15.6
2020,2020. 09,21.4,25.6,29.5,18,13.6,181.5,71,2.5,9.8,21.5
2020,2020. 10,14.3,19.5,23.6,9.6,3.2,-,61,2.1,7.2,13.7
2020,2020. 11,8,12.6,20,4,-3.6,120.1,64,2.2,8.4,15.6
2020,2020. 12,-0.3,3.9,11.4,-4.2,-12.9,4.6,58,2.2,6.5,11.7
2021,2021. 01,-2.4,2.2,13.9,-6.8,-18.6,18.9,58,2.5,8.7,17.5
2021,2021. 02,2.7,7.9,17.4,-2.2,-10.6,7.1,56,2.6,7.5,15.8
2021,2021. 03,9,14.8,22.9,4.3,-1.2,110.9,63,2.4,6.9,14.8
2021,2021. 04,14.2,19.5,28.2,9.5,3.1,124.1,54,2.6,7.1,12.5
2021,2021. 05,17.1,21.9,30.8,12.8,7.3,183.1,68,2.4,8.4,16
2021,2021. 06,22.8,27.6,31.6,18.9,13.3,104.6,73,2.2,7.8,15
2021,2021. 07,28.1,32.2,36.5,24.6,19.6,168.3,71,2,7.4,16.5
2021,2021. 08,25.9,29.7,33.7,22.8,18.1,211.2,74,2.1,8.3,16.4
2021,2021. 09,22.6,26.9,30.3,18.8,16,131.0,71,2.3,7.1,12.5
2021,2021. 10,15.6,20.5,28.8,11.6,1.3,57.0,70,2.1,10.6,20.9
2021,2021. 11,8.2,13.1,21.3,4,-3.7,62.4,68,2.1,9.3,16.6
2021,2021. 12,0.6,5.1,13.3,-3.5,-15.5,7.9,62,2.3,8.1,15.2
2022,2022. 01,-2.2,2.6,8.4,-6.2,-11.3,5.5,55,2.2,7.6,13.9
2022,2022. 02,-1.1,3.8,11.5,-5.3,-10.7,4.7,55,2.6,7.4,14.5
2022,2022. 03,7.7,12.7,19.5,3.2,-3,102.6,62,2.5,8.8,18.5
2022,2022. 04,14.8,20.6,28.7,10,3.5,20.4,55,2.7,8.4,14.5
2022,2022. 05,19.1,25,30.7,13.9,7.9,7.5,55,2.6,7.6,14.1
2022,2022. 06,23.3,27.5,32.7,19.8,14.9,393.8,73,2.5,9.9,20.9
2022,2022. 07,27.3,31,36.1,24.2,20.8,252.3,77,2.1,5.6,11.6
2022,2022. 08,25.7,28.9,32.9,23.1,16.1,564.8,80,2.3,8.6,24.9
2022,2022. 09,22.4,27.2,32.5,18.2,12.3,201.5,68,2.4,8,18.3
2022,2022. 10,14.6,19.7,27.6,10.3,4.4,124.1,69,2.2,6.8,13.7
2022,2022. 11,10,15.4,22.1,5.6,-8.1,84.5,65,2.1,6.5,12
2022,2022. 12,-2.8,1.7,10.2,-6.6,-13.7,13.6,59,2.3,7.4,15
2023,2023. 01,-1.5,3.2,12.5,-5.7,-17.3,47.9,63,2.4,7.5,13.9
2023,2023. 02,2.3,7.3,12.4,-1.9,-5.3,1.0,59,2.3,6.8,11.6
2023,2023. 03,9.8,16.2,25.1,4.2,-1.9,10.5,51,2.3,7.3,13.6
2023,2023. 04,13.8,19,28.4,8.8,3.1,96.9,60,2.5,9.3,18.9
2023,2023. 05,19.5,25,31.2,14.6,7.9,155.6,63,2.3,8.6,15.9
2023,2023. 06,23.4,27.9,34,19.7,16.6,195.6,73,2.2,7.5,12.6
2023,2023. 07,26.7,30.2,34.9,23.9,21.6,459.9,81,2.1,7,16.8
2023,2023. 08,27.2,30.8,35.8,24.3,20.8,298.1,76,2.2,8.9,18.1
2023,2023. 09,23.7,27.6,32.8,20.2,15.2,134.5,74,2,5.2,10.6
2023,2023. 10,15.8,21,24.6,11.5,5.4,31.0,67,1.9,6.4,12.1
2023,2023. 11,6.8,11.5,25.9,2.9,-7.3,81.9,65,2.6,9.1,16.9
2023,2023. 12,1.1,5.2,16.8,-2.5,-14.7,85.9,69,2.4,9,17.9
2024,2024. 01,-0.5,3.6,10.6,-3.9,-14,18.9,67,2.3,7.2,12.4
2024,2024. 02,3.8,8.2,18.3,0.2,-3.1,74.7,73,2.5,8.8,15
2024,2024. 03,7,12,23.4,2.4,-8.1,29.9,57,2.7,8.4,15
2024,2024. 04,16.3,22.4,29.4,11.5,5.5,33.2,56,2.4,7.9,13.9
2024,2024. 05,18.5,23.7,28.5,13.8,6.9,125.1,63,2.4,9.1,18.3
2024,2024. 06,24.6,30.1,35.8,19.9,15.7,115.9,61,2.2,7.2,13.6
