사고발생여부,인구수,생활인구수_주중,생활인구수_주말,전통시장여부,지하철출입구개수,버스정류장개수,과속방지턱개수,교차로개수,횡단보도개수,주거,상업,녹지
0,0,153.7165209,129.6369169,0,0,0,1,1,3,0.85171085,0.13779641,0.010533923
1,0,790.9311325,679.7158478,0,0,0,0,0,2,0,0.999992784,0
0,0,384.7040984,318.2069031,0,0,0,0,0,0,0.825342027,0.174694033,0
1,0,381.1909759,310.2103216,0,0,0,0,0,1,1.000195984,0,0
0,0,173.5509966,163.3097155,0,0,0,2,0,0,0.999996258,0,0
1,2686.297516,742.6268891,781.2375884,0,0,0,0,1,1,0.96940971,0,0
1,0,365.1094078,298.0894913,0,0,0,0,0,1,1.000195511,0,0
0,0,448.883762,450.6794141,0,0,0,0,0,1,0.9569134,0.04308745,0
0,0,384.2986208,378.9828281,0,0,0,0,0,0,0.794760686,0.204522045,0
1,0,122.1028937,157.8584737,0,0,0,0,1,1,0.147617788,0.324707243,0.111235608
0,0,497.137182,537.176333,0,0,0,0,0,0,0.733201221,0.109299425,0.154425404
0,308.4041863,147.9429662,158.7415508,0,0,0,0,0,0,0.997683669,0,0
1,1862.627889,551.3656915,577.088946,0,0,1,0,1,4,0.92804886,0.071937487,0
0,0,525.2023564,566.1686707,0,0,0,2,0,0,0.745451894,0.119534175,0.130669953
0,2034.396915,412.6804736,407.4146345,0,0,1,0,0,4,0.904064678,0.09532611,0
0,0,256.7914205,283.7420904,0,0,0,0,0,0,0.726135538,0,0.273350128
1,956.8156244,601.5393849,547.5636437,1,0,0,0,0,0,0.620451345,0.379532644,0
0,1547.811867,520.9220863,500.5068512,0,0,0,0,0,2,0.999945174,0,0
1,2507.450527,356.1037778,346.7968671,0,0,0,2,0,0,0.999999497,0,0
1,0,276.4434291,284.8449644,0,0,1,0,1,5,0.974060785,0.022504737,0
1,0,463.2420083,414.065953,0,0,1,0,1,2,0.98637555,0.008660452,0
