지역1,지역2,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
인천,미추홀구,226640,226538,226903,226835,226996,228703,233234,235531,240641,244336,245781,246797
인천,연수구,373444,371813,373174,374694,376243,379694,407351,413045,433617,443526,448071,455325
인천,남동구,276073,275655,276158,276756,277070,278709,298569,299050,306484,315359,321072,326413
인천,부평구,256700,256213,256473,256587,257847,258787,259789,261151,268000,273007,276158,280836
인천,계양구,226617,225942,226942,227642,227708,228250,229883,230275,231242,232775,234742,236367
인천,서구,273188,273331,273981,273990,275383,276266,314358,318549,339043,344469,346846,352309
부산,중구,149042,148938,148479,148354,148396,148354,148438,148563,148708,148208,148125,147583
부산,서구,263705,262568,262114,261705,261500,260750,273204,273017,272767,272260,271552,271427
부산,동구,210559,210059,209353,208985,208691,208515,206903,206736,206486,206264,206097,205819
부산,영도구,195905,195569,195259,194379,193983,193379,196767,196692,196583,196408,196308,196067
부산,부산진구,251018,249746,249004,248326,248080,247857,255561,255947,255965,255702,255298,254956
부산,남구,305761,305330,304989,305045,305966,308841,352167,352740,352740,352490,352771,354104
부산,연제구,340280,339195,338134,337037,337171,339037,351964,353250,353702,353560,353464,353679
부산,수영구,409568,409108,407919,408757,410662,421230,416855,418474,419447,419211,419197,423461
