OrderID,Seq,OrderDate,ProductID,Qty,Amt,CustomerID
18,1,2016-06-30,p1237811,1,8000,c097665
19,1,2016-06-30,p1072601,1,4600,c110521
20,1,2016-06-30,p1200641,1,5200,c261933
20,2,2016-06-30,p1127201,1,3727,c261933
20,3,2016-06-30,p1119071,1,1091,c261933
20,4,2016-06-30,p1030071,1,2450,c261933
20,5,2016-06-30,p1001771,1,3600,c261933
21,1,2016-06-30,p1012581,1,1050,c265761
22,1,2016-06-30,p1072601,1,4600,c296998
22,2,2016-06-30,p1012641,1,1100,c296998
23,1,2016-06-30,p1030071,1,2450,c345899
24,1,2016-06-30,p1175481,1,1300,c357383
25,1,2016-06-30,p1162631,1,4600,c017544
26,1,2016-06-30,p1284851,2,5500,c082866
27,1,2016-06-30,p1012581,1,1050,c111432
27,2,2016-06-30,p1012761,1,1900,c111432
28,1,2016-06-30,p1211951,1,1700,c222232
28,2,2016-06-30,p1012881,1,1600,c222232
29,1,2016-06-30,p1231011,2,1818,c237565
29,2,2016-06-30,p1175481,1,1300,c237565
29,3,2016-06-30,p1144371,1,1250,c237565
30,1,2016-06-30,p1012581,2,2100,c295877
30,2,2016-06-30,p1246581,1,1136,c295877
31,1,2016-06-30,p1200641,2,10400,c297698
31,2,2016-06-30,p1012951,1,1200,c297698
31,3,2016-06-30,p1005891,1,1950,c297698
31,4,2016-06-30,p1097591,1,600,c297698
31,5,2016-06-30,p1175481,1,1300,c297698
32,1,2016-06-30,p1030071,1,2450,c312420
33,1,2016-06-30,p1012581,1,1050,c353614
34,1,2016-06-30,p1052661,1,1381,c043687
34,2,2016-06-30,p1097821,3,2847,c043687
34,3,2016-06-30,p1119071,3,3105,c043687
34,4,2016-06-30,p1235451,1,1165,c043687
35,1,2016-06-30,p1233511,1,2050,c070348
36,1,2016-06-30,p1152861,2,2182,c116212
37,1,2016-06-30,p1011291,1,273,c121217
37,2,2016-06-30,p1144371,1,1250,c121217
37,3,2016-06-30,p1175481,1,1300,c121217
38,1,2016-06-30,p1246581,2,2272,c122996
38,2,2016-06-30,p1005891,1,1950,c122996
39,1,2016-06-30,p1005891,4,7800,c170363
40,1,2016-06-30,p1005771,1,1850,c175118
40,2,2016-06-30,p1030071,1,2450,c175118
41,1,2016-06-30,p1175481,1,1300,c223372
42,1,2016-06-30,p1284851,1,2750,c302963
43,1,2016-06-30,p1005891,1,1950,c017546
44,1,2016-06-30,p1175481,2,2600,c229579
45,1,2016-06-30,p1152861,1,1091,c270755
46,1,2016-06-30,p1030071,1,2450,c279451
46,2,2016-06-30,p1284851,1,2750,c279451
47,1,2016-06-30,p1284851,1,2750,c305167
48,1,2016-06-30,p1191881,1,1750,c306915
49,1,2016-06-30,p1072601,1,3220,c326331
49,2,2016-06-30,p1097821,1,1000,c326331
50,1,2016-06-30,p1159481,1,1650,c017567
51,1,2016-06-30,p1030071,1,2450,c099839
52,1,2016-06-30,p1149381,1,1182,c112428
52,2,2016-06-30,p1149391,1,909,c112428
52,3,2016-06-30,p1149401,1,909,c112428
52,4,2016-06-30,p1231011,1,909,c112428
53,1,2016-06-30,p1211951,1,1700,c155150
54,1,2016-06-30,p1005891,1,1950,c227060
55,1,2016-06-30,p1072601,1,4600,c299230
56,1,2016-06-30,p1006411,9,9819,c324236
56,2,2016-06-30,p1246581,5,5680,c324236
56,3,2016-06-30,p1127201,1,3727,c324236
57,1,2016-06-30,p1246581,1,1136,c342774
58,1,2016-06-30,p1005891,1,1950,c055600
59,1,2016-06-30,p1200641,1,5200,c057792
60,1,2016-06-30,p1026741,1,3227,c214899
61,1,2016-06-30,p1284851,1,2750,c292114
62,1,2016-06-30,p1012881,1,1600,c302834
62,2,2016-06-30,p1005771,1,1850,c302834
63,1,2016-06-30,p1005891,1,1950,c309707
64,1,2016-06-30,p1012761,1,1900,c317858
64,2,2016-06-30,p1211951,1,1700,c317858
64,3,2016-06-30,p1191881,1,1750,c317858
64,4,2016-06-30,p1284851,1,2750,c317858
65,1,2016-06-30,p1097821,3,3000,c334919
66,1,2016-06-30,p1097821,1,1000,c337211
66,2,2016-06-30,p1119071,1,1091,c337211
67,1,2016-06-30,p1030071,1,2450,c368106
68,1,2016-06-30,p1012751,1,1250,c046178
69,1,2016-06-30,p1284851,1,2750,c057902
69,2,2016-06-30,p1127201,1,3727,c057902
70,1,2016-06-30,p1139681,1,909,c111750
70,2,2016-06-30,p1100371,1,400,c111750
